 rpt_as_rev ,Date,Country,Code,#Ra,days
2980142208,1/3/2022,USA,t2,1314,10
14593241928,1/3/2022,USA,t2,753,2
20684117400,1/3/2022,USA,t2,1226,11
17889370056,1/3/2022,USA,t2,573,14
5661578976,1/3/2022,USA,t2,1646,8
281908690008,1/3/2022,ASIA,T3,2286,14
16030977864,1/3/2022,ASIA,T3,436,5
24583828008,1/3/2022,ASIA,T4,1598,13
24862290600,1/3/2022,Europe,T5,2286,8
30492394416,1/3/2022,Europe,T5,2658,3
28295181384,1/3/2022,Europe,T5,2469,14
82956672288,1/3/2022,Europe,T5,1807,12
27785036928,1/3/2022,Europe,T5,566,5
6622867392,1/3/2022,Europe,T5,1129,7
842423400,1/3/2022,Europe,T5,702,7
31458496680,1/3/2022,Europe,T5,459,6
122642652360,1/3/2022,Europe,T5,2587,10
10991743032,1/3/2022,Europe,T5,1327,13
323218294608,1/3/2022,Europe,T5,902,8
74590327896,1/3/2022,Mexico,T5,2443,5
85698714168,1/3/2022,Mexico,T5,1432,1
11702711352,1/3/2022,Mexico,T6,2054,2
33566962104,1/3/2022,Mexico,T6,268,9
2086617960,1/3/2022,Mexico,T6,2287,2
29094280152,1/3/2022,Mexico,T6,1480,12
4386402984,1/3/2022,Mexico,T6,667,7
30709017576,1/3/2022,Mexico,T6,1380,8
32021716896,1/3/2022,Mexico,T6,1496,1
34076612832,1/3/2022,Mexico,T6,1818,15
118544586528,1/3/2022,Mexico,T6,2163,7
47254953744,1/3/2022,Mexico,T6,1675,4
7276810128,1/3/2022,Mexico,T6,953,10
9045590688,1/3/2022,Mexico,T6,2908,9
386124919680,1/3/2022,Mexico,T6,564,6
19691724120,1/3/2022,CANADA,T6,2818,4
31559093760,1/3/2022,CANADA,T6,2624,11
5367934248,1/3/2022,CANADA,T6,1694,8
17100763008,1/3/2022,CANADA,T6,1196,9
49053234552,1/3/2022,CANADA,T6,1986,13
4668321672,1/3/2022,CANADA,T6,1356,5
7093390176,1/3/2022,CANADA,T6,944,13
29009852664,1/3/2022,CANADA,T6,402,12
27082832280,1/3/2022,CANADA,T6,338,14
3315753816,1/3/2022,CANADA,T6,1496,11
47032776144,1/3/2022,CANADA,T6,2843,15
12803971656,1/3/2022,CANADA,T8,1327,2
15890759112,1/3/2022,CANADA,T8,1810,5
19012477824,1/4/2022,USA,T1,2733,9
4264328736,1/4/2022,USA,T1,1316,8
5411629176,1/4/2022,USA,T1,2295,4
6588183000,1/4/2022,USA,T1,1926,10
963150140856,1/4/2022,USA,T1,532,4
36507359208,1/4/2022,USA,T1,2567,14
3328714176,1/4/2022,USA,T1,128,7
18235720248,1/4/2022,USA,T1,1238,1
6746052528,1/4/2022,USA,T1,942,2
1697436864,1/4/2022,USA,T1,1540,8
5103419472,1/4/2022,USA,T1,2308,2
5470506240,1/4/2022,USA,t2,393,13
4359001080,1/4/2022,USA,t2,498,14
3551015208,1/4/2022,USA,t2,436,12
5327695416,1/4/2022,USA,t2,1877,5
28974674544,1/4/2022,USA,t2,1439,5
6397233696,1/4/2022,USA,t2,2929,10
1890731376,1/4/2022,USA,t2,689,5
195627623664,1/4/2022,ASIA,T3,1105,8
5930537304,1/4/2022,ASIA,T3,2720,15
30247011600,1/4/2022,ASIA,T4,935,3
51800830872,1/4/2022,Europe,T5,2421,1
13785749784,1/4/2022,Europe,T5,2803,4
14481412536,1/4/2022,Europe,T5,1609,9
64677380544,1/4/2022,Europe,T5,121,2
7589833680,1/4/2022,Europe,T5,2771,12
3967845072,1/4/2022,Europe,T5,1617,9
128369280,1/4/2022,Europe,T5,248,12
16923514656,1/4/2022,Europe,T5,68,1
112212278064,1/4/2022,Europe,T5,1983,15
4130898744,1/4/2022,Europe,T5,2893,9
221556860472,1/4/2022,Europe,T5,1040,8
40273516392,1/4/2022,Mexico,T5,490,7
60667815456,1/4/2022,Mexico,T5,649,8
5468778192,1/4/2022,Mexico,T6,1867,4
41565479136,1/4/2022,Mexico,T6,1614,7
2739079512,1/4/2022,Mexico,T6,345,2
20413431024,1/4/2022,Mexico,T6,522,8
3077653488,1/4/2022,Mexico,T6,2327,15
46594345680,1/4/2022,Mexico,T6,2612,7
17753594856,1/4/2022,Mexico,T6,88,9
20490205728,1/4/2022,Mexico,T6,1201,12
103821494136,1/4/2022,Mexico,T6,1699,14
32991275256,1/4/2022,Mexico,T6,2824,8
5614057656,1/4/2022,Mexico,T6,2677,15
7296188952,1/4/2022,Mexico,T6,1060,7
296143979136,1/4/2022,Mexico,T6,989,11
14612867616,1/4/2022,CANADA,T6,2548,6
21456801720,1/4/2022,CANADA,T6,1807,3
10161662832,1/4/2022,CANADA,T6,2723,5
12109913520,1/4/2022,CANADA,T6,2506,2
32148111264,1/4/2022,CANADA,T6,287,2
6497830776,1/4/2022,CANADA,T6,615,3
3541510944,1/4/2022,CANADA,T6,1324,8
10834490664,1/4/2022,CANADA,T6,1401,14
14229611256,1/4/2022,CANADA,T6,2699,13
1878511608,1/4/2022,CANADA,T6,393,7
24019990632,1/4/2022,CANADA,T6,613,8
21201914640,1/4/2022,CANADA,T8,2230,1
26122778184,1/4/2022,CANADA,T8,1292,9
16208843376,1/5/2022,USA,T1,1839,1
22111485048,1/5/2022,USA,T1,1185,10
12589693704,1/5/2022,USA,T1,1027,3
3376852656,1/5/2022,USA,T1,2657,14
831210219960,1/5/2022,USA,T1,1379,10
26150920680,1/5/2022,USA,T1,443,2
2134386144,1/5/2022,USA,T1,1128,12
22432284816,1/5/2022,USA,T1,313,1
6144444960,1/5/2022,USA,T1,938,10
2521592328,1/5/2022,USA,T1,2449,10
4551678432,1/5/2022,USA,T1,195,15
1832718336,1/5/2022,USA,t2,2469,1
10046377344,1/5/2022,USA,t2,129,14
3904894752,1/5/2022,USA,t2,2766,7
2217949608,1/5/2022,USA,t2,2391,5
29878937376,1/5/2022,USA,t2,1766,14
7291868832,1/5/2022,USA,t2,1586,2
866739504,1/5/2022,USA,t2,1669,14
171488150856,1/5/2022,ASIA,T3,240,4
17790007296,1/5/2022,ASIA,T3,2114,13
9878633256,1/5/2022,ASIA,T4,1256,6
22057915560,1/5/2022,Europe,T5,2375,8
28792612344,1/5/2022,Europe,T5,1375,14
23430973128,1/5/2022,Europe,T5,1626,11
43646048928,1/5/2022,Europe,T5,647,7
3253420656,1/5/2022,Europe,T5,1129,6
7613285760,1/5/2022,Europe,T5,2400,8
10468885080,1/5/2022,Europe,T5,1040,1
107073927336,1/5/2022,Europe,T5,1544,3
9792354288,1/5/2022,Europe,T5,2184,6
167916522504,1/5/2022,Europe,T5,2069,13
39853724160,1/5/2022,Mexico,T5,1201,14
45717361320,1/5/2022,Mexico,T5,366,12
4432072824,1/5/2022,Mexico,T6,2675,14
35498672904,1/5/2022,Mexico,T6,2172,15
12664493496,1/5/2022,Mexico,T6,610,6
3978460224,1/5/2022,Mexico,T6,2209,8
792433440,1/5/2022,Mexico,T6,1756,14
21525183048,1/5/2022,Mexico,T6,2913,15
25349229840,1/5/2022,Mexico,T6,277,14
35434117968,1/5/2022,Mexico,T6,1027,13
69002684688,1/5/2022,Mexico,T6,2239,13
47298401808,1/5/2022,Mexico,T6,1634,1
1481307432,1/5/2022,Mexico,T6,68,1
700353168,1/5/2022,Mexico,T6,2142,11
287955253392,1/5/2022,Mexico,T6,813,8
9393545496,1/5/2022,CANADA,T6,688,15
6406120800,1/5/2022,CANADA,T6,2217,8
3665560104,1/5/2022,CANADA,T6,893,10
11200960272,1/5/2022,CANADA,T6,2701,9
24229701600,1/5/2022,CANADA,T6,560,10
1651273296,1/5/2022,CANADA,T6,2021,13
5177972400,1/5/2022,CANADA,T6,2951,3
22602250680,1/5/2022,CANADA,T6,1614,8
9855304608,1/5/2022,CANADA,T6,1502,6
25673115408,1/5/2022,CANADA,T6,1989,9
13045898376,1/5/2022,CANADA,T8,2065,7
34903977528,1/5/2022,CANADA,T8,2188,14
13231046376,1/6/2022,USA,T1,2566,8
12753241104,1/6/2022,USA,T1,1904,1
16958939640,1/6/2022,USA,T1,2089,12
567046608,1/6/2022,USA,T1,1802,15
674488609560,1/6/2022,USA,T1,158,6
38005823688,1/6/2022,USA,T1,1613,15
2310400176,1/6/2022,USA,T1,2736,6
9726811896,1/6/2022,USA,T1,116,4
4429974480,1/6/2022,USA,T1,512,9
1452918072,1/6/2022,USA,T1,1060,11
9557092896,1/6/2022,USA,T1,1769,4
395476128,1/6/2022,USA,t2,2647,3
2293119696,1/6/2022,USA,t2,332,8
4388995056,1/6/2022,USA,t2,1293,4
2954221488,1/6/2022,USA,t2,1900,13
6179252784,1/6/2022,USA,t2,2240,10
8985602736,1/6/2022,USA,t2,1202,8
181587727392,1/6/2022,ASIA,T3,2114,2
11897240184,1/6/2022,ASIA,T3,2472,15
14318112000,1/6/2022,ASIA,T4,2877,13
15564404904,1/6/2022,Europe,T5,1228,12
22825045440,1/6/2022,Europe,T5,2178,3
17264680704,1/6/2022,Europe,T5,1603,6
59735656992,1/6/2022,Europe,T5,2408,6
12755216016,1/6/2022,Europe,T5,2053,3
2433215016,1/6/2022,Europe,T5,1543,3
2390877840,1/6/2022,Europe,T5,2969,2
17384162880,1/6/2022,Europe,T5,1137,2
72100827888,1/6/2022,Europe,T5,2020,15
13333001208,1/6/2022,Europe,T5,1085,10
179946328656,1/6/2022,Europe,T5,556,1
24880064808,1/6/2022,Mexico,T5,1929,5
45712547472,1/6/2022,Mexico,T5,1986,2
6025456512,1/6/2022,Mexico,T6,218,3
28498967616,1/6/2022,Mexico,T6,2501,13
1399842312,1/6/2022,Mexico,T6,750,1
31138437504,1/6/2022,Mexico,T6,1327,14
2039837232,1/6/2022,Mexico,T6,1151,10
340548888,1/6/2022,Mexico,T6,1312,9
31998141384,1/6/2022,Mexico,T6,1090,10
9707186208,1/6/2022,Mexico,T6,2560,9
9974539920,1/6/2022,Mexico,T6,2865,12
91045294680,1/6/2022,Mexico,T6,1577,1
35746030632,1/6/2022,Mexico,T6,138,7
4836929784,1/6/2022,Mexico,T6,2520,14
227370877968,1/6/2022,Mexico,T6,2853,14
13022446296,1/6/2022,CANADA,T6,338,2
7041548736,1/6/2022,CANADA,T6,2140,14
1257031488,1/6/2022,CANADA,T6,1050,8
1670898984,1/6/2022,CANADA,T6,1706,2
27253909032,1/6/2022,CANADA,T6,1206,6
1497477024,1/6/2022,CANADA,T6,2748,6
2440250640,1/6/2022,CANADA,T6,2252,6
16960914552,1/6/2022,CANADA,T6,1491,15
4280992056,1/6/2022,CANADA,T6,2882,7
771696864,1/6/2022,CANADA,T6,2177,2
35961666336,1/6/2022,CANADA,T6,1107,5
13297699656,1/6/2022,CANADA,T8,734,4
7213612944,1/6/2022,CANADA,T8,776,8
7189049976,1/7/2022,USA,T1,1569,12
5657258856,1/7/2022,USA,T1,728,11
8854024224,1/7/2022,USA,T1,353,15
1164951216,1/7/2022,USA,T1,1545,15
715746496152,1/7/2022,USA,T1,1886,1
55177189800,1/7/2022,USA,T1,1031,3
1151003400,1/7/2022,USA,T1,1537,3
27433008864,1/7/2022,USA,T1,2380,8
11094438456,1/7/2022,USA,T1,1426,7
132319104,1/7/2022,USA,T1,1900,15
9283691016,1/7/2022,USA,T1,947,1
2629348464,1/7/2022,USA,t2,594,7
4071404520,1/7/2022,USA,t2,339,4
6792833256,1/7/2022,USA,t2,588,11
3285389544,1/7/2022,USA,t2,1108,11
8880191808,1/7/2022,USA,t2,1424,15
7115361072,1/7/2022,USA,t2,297,3
1797787080,1/7/2022,USA,t2,1189,12
123198219792,1/7/2022,ASIA,T3,2286,2
9245180232,1/7/2022,ASIA,T3,2680,4
5188093824,1/7/2022,ASIA,T4,665,4
12858158304,1/7/2022,Europe,T5,2339,11
14968228344,1/7/2022,Europe,T5,1200,6
20164221816,1/7/2022,Europe,T5,550,7
25487473680,1/7/2022,Europe,T5,977,1
6618670704,1/7/2022,Europe,T5,1695,10
318948288,1/7/2022,Europe,T5,83,10
5907578952,1/7/2022,Europe,T5,2359,5
25274059752,1/7/2022,Europe,T5,1432,14
70854905280,1/7/2022,Europe,T5,1206,7
11639884464,1/7/2022,Europe,T5,2949,6
196220714424,1/7/2022,Europe,T5,1848,12
31050677352,1/7/2022,Mexico,T5,1812,3
48890551176,1/7/2022,Mexico,T5,366,3
6717292872,1/7/2022,Mexico,T6,2183,4
40435335744,1/7/2022,Mexico,T6,1301,5
1832841768,1/7/2022,Mexico,T6,1349,13
15913840896,1/7/2022,Mexico,T6,423,2
761328576,1/7/2022,Mexico,T6,166,15
43630002768,1/7/2022,Mexico,T6,1917,2
14258370912,1/7/2022,Mexico,T6,1925,3
23128688160,1/7/2022,Mexico,T6,2994,11
62327975856,1/7/2022,Mexico,T6,2862,10
45818452128,1/7/2022,Mexico,T6,1619,14
2250905952,1/7/2022,Mexico,T6,563,2
3123693624,1/7/2022,Mexico,T6,1820,13
145781585376,1/7/2022,Mexico,T6,657,9
10319285496,1/7/2022,CANADA,T6,2353,1
3222809520,1/7/2022,CANADA,T6,2493,9
2688348960,1/7/2022,CANADA,T6,338,4
2080940088,1/7/2022,CANADA,T6,87,2
27800342496,1/7/2022,CANADA,T6,817,10
856864944,1/7/2022,CANADA,T6,742,6
7659696192,1/7/2022,CANADA,T6,2507,6
23992835592,1/7/2022,CANADA,T6,2227,3
6652367640,1/7/2022,CANADA,T6,1925,10
3276132144,1/7/2022,CANADA,T6,2679,6
20131142040,1/7/2022,CANADA,T6,346,8
5962012464,1/7/2022,CANADA,T8,2181,10
8693932920,1/7/2022,CANADA,T8,2520,9
7968029328,1/8/2022,USA,T1,2312,10
2904108096,1/8/2022,USA,T1,1045,15
11304766584,1/8/2022,USA,T1,1528,13
7117089120,1/8/2022,USA,T1,1617,2
845456000808,1/8/2022,USA,T1,122,7
22310827728,1/8/2022,USA,T1,2630,6
2119574304,1/8/2022,USA,T1,195,12
23188305816,1/8/2022,USA,T1,2231,8
7264960656,1/8/2022,USA,T1,2311,11
5999042064,1/8/2022,USA,T1,2089,7
2855969616,1/8/2022,USA,t2,98,11
6759630048,1/8/2022,USA,t2,358,2
4468608696,1/8/2022,USA,t2,2563,3
9124216872,1/8/2022,USA,t2,708,14
7813122168,1/8/2022,USA,t2,1844,6
3215650464,1/8/2022,USA,t2,710,6
1279372680,1/8/2022,USA,t2,1746,9
149287424472,1/8/2022,ASIA,T3,1885,13
6425869920,1/8/2022,ASIA,T3,988,10
8202179832,1/8/2022,ASIA,T4,1641,4
19884031176,1/8/2022,Europe,T5,1843,3
27203178480,1/8/2022,Europe,T5,951,15
13824260568,1/8/2022,Europe,T5,702,7
44946775344,1/8/2022,Europe,T5,1018,14
24516557568,1/8/2022,Europe,T5,1702,15
975483096,1/8/2022,Europe,T5,262,2
10517270424,1/8/2022,Europe,T5,1317,10
29081936952,1/8/2022,Europe,T5,1915,13
61175244408,1/8/2022,Europe,T5,393,15
11793680736,1/8/2022,Europe,T5,2647,12
176299653648,1/8/2022,Europe,T5,2951,5
17460567288,1/8/2022,Mexico,T5,2200,15
34534175256,1/8/2022,Mexico,T5,2078,2
9410208816,1/8/2022,Mexico,T6,709,10
38322920496,1/8/2022,Mexico,T6,2425,11
206008008,1/8/2022,Mexico,T6,222,9
31223729016,1/8/2022,Mexico,T6,2064,14
4640302608,1/8/2022,Mexico,T6,1584,13
1739280312,1/8/2022,Mexico,T6,869,4
42874598928,1/8/2022,Mexico,T6,1251,6
13375832112,1/8/2022,Mexico,T6,1409,13
23513425704,1/8/2022,Mexico,T6,291,4
89247137304,1/8/2022,Mexico,T6,762,1
30823068744,1/8/2022,Mexico,T6,1535,12
3457330320,1/8/2022,Mexico,T6,891,10
12890620920,1/8/2022,Mexico,T6,753,15
255584964528,1/8/2022,Mexico,T6,1509,13
9314055288,1/8/2022,CANADA,T6,2783,3
3068396088,1/8/2022,CANADA,T6,2895,12
2811410664,1/8/2022,CANADA,T6,2439,3
1970221584,1/8/2022,CANADA,T6,2193,1
18174127680,1/8/2022,CANADA,T6,1978,8
444478632,1/8/2022,CANADA,T6,1561,4
3032477376,1/8/2022,CANADA,T6,1313,12
12875562216,1/8/2022,CANADA,T6,1073,13
15392217264,1/8/2022,CANADA,T6,64,10
47119178544,1/8/2022,CANADA,T6,2117,4
5935844880,1/8/2022,CANADA,T8,2708,3
8340176808,1/8/2022,CANADA,T8,1367,2
6212702856,1/9/2022,USA,T1,2821,6
6848130792,1/9/2022,USA,T1,2289,2
4088808432,1/9/2022,USA,T1,2787,4
18133765416,1/9/2022,USA,T1,1042,13
706458608448,1/9/2022,USA,T1,201,14
52734470520,1/9/2022,USA,T1,1848,6
4446020640,1/9/2022,USA,T1,917,9
14595216840,1/9/2022,USA,T1,560,4
3942664944,1/9/2022,USA,T1,1675,2
1115331552,1/9/2022,USA,T1,369,15
9571534440,1/9/2022,USA,T1,493,12
3584835576,1/9/2022,USA,t2,204,3
7221512592,1/9/2022,USA,t2,666,5
10375200192,1/9/2022,USA,t2,1629,8
14129631336,1/9/2022,USA,t2,985,6
11264651184,1/9/2022,USA,t2,1141,14
1914677184,1/9/2022,USA,t2,607,10
151325286792,1/9/2022,ASIA,T3,2990,5
6004843368,1/9/2022,ASIA,T3,2114,2
7398637512,1/9/2022,ASIA,T4,499,11
12954682128,1/9/2022,Europe,T5,1997,10
12053505096,1/9/2022,Europe,T5,1527,9
20909751096,1/9/2022,Europe,T5,2570,10
64088486472,1/9/2022,Europe,T5,1763,12
10044649296,1/9/2022,Europe,T5,1630,2
1334176488,1/9/2022,Europe,T5,837,6
4666717056,1/9/2022,Europe,T5,193,12
6041255808,1/9/2022,Europe,T5,1838,3
63122507640,1/9/2022,Europe,T5,2497,1
9032506896,1/9/2022,Europe,T5,1309,11
147857958480,1/9/2022,Europe,T5,1658,15
28852476864,1/9/2022,Mexico,T5,2479,1
44929248000,1/9/2022,Mexico,T5,2110,12
1517226144,1/9/2022,Mexico,T6,1748,10
14587440624,1/9/2022,Mexico,T6,718,14
448551888,1/9/2022,Mexico,T6,753,2
28789279680,1/9/2022,Mexico,T6,1635,13
1991575320,1/9/2022,Mexico,T6,2315,3
38111234616,1/9/2022,Mexico,T6,1266,10
9765075816,1/9/2022,Mexico,T6,1634,10
16338076680,1/9/2022,Mexico,T6,2008,10
78512626560,1/9/2022,Mexico,T6,2519,5
33723967608,1/9/2022,Mexico,T6,74,14
6872200032,1/9/2022,Mexico,T6,2167,10
2189313384,1/9/2022,Mexico,T6,1057,9
187339905456,1/9/2022,Mexico,T6,1687,1
5330904648,1/9/2022,CANADA,T6,292,10
5174269440,1/9/2022,CANADA,T6,2598,12
2770307808,1/9/2022,CANADA,T6,2789,8
172311072,1/9/2022,CANADA,T6,967,6
12683748888,1/9/2022,CANADA,T6,209,10
3543485856,1/9/2022,CANADA,T6,1253,11
22443270264,1/9/2022,CANADA,T6,1504,6
11519661696,1/9/2022,CANADA,T6,1469,5
559517256,1/9/2022,CANADA,T6,1068,7
8568526008,1/9/2022,CANADA,T6,963,12
10170796800,1/9/2022,CANADA,T8,207,11
1511054544,1/9/2022,CANADA,T8,410,2
9182600208,1/10/2022,USA,T1,2986,15
12763362528,1/10/2022,USA,T1,307,6
6208876464,1/10/2022,USA,T1,2330,13
328452552,1/10/2022,USA,T1,2870,3
590338843560,1/10/2022,USA,T1,1998,15
39041418168,1/10/2022,USA,T1,1274,13
1589433864,1/10/2022,USA,T1,1732,10
26458142928,1/10/2022,USA,T1,2202,7
3413265096,1/10/2022,USA,T1,2835,1
2329408704,1/10/2022,USA,T1,654,15
5902641672,1/10/2022,USA,T1,2335,3
1557341544,1/10/2022,USA,t2,2755,8
695045592,1/10/2022,USA,t2,549,13
3408821544,1/10/2022,USA,t2,105,11
3716167224,1/10/2022,USA,t2,1291,3
15078576552,1/10/2022,USA,t2,2057,1
2232514584,1/10/2022,USA,t2,2018,14
621109824,1/10/2022,USA,t2,1717,13
123385959864,1/10/2022,ASIA,T3,251,1
24159221928,1/10/2022,ASIA,T3,1488,11
13189449792,1/10/2022,ASIA,T4,1543,11
18296448792,1/10/2022,Europe,T5,2987,7
8288335368,1/10/2022,Europe,T5,2936,6
4111273056,1/10/2022,Europe,T5,1112,6
49232210952,1/10/2022,Europe,T5,2904,4
7346549208,1/10/2022,Europe,T5,711,6
3453627360,1/10/2022,Europe,T5,206,4
100967376,1/10/2022,Europe,T5,1400,12
4566119976,1/10/2022,Europe,T5,722,14
54905392536,1/10/2022,Europe,T5,2579,7
7910633448,1/10/2022,Europe,T5,468,10
119109164496,1/10/2022,Europe,T5,2837,6
37770315432,1/10/2022,Mexico,T5,2368,12
42304960248,1/10/2022,Mexico,T5,1923,15
8570747784,1/10/2022,Mexico,T6,2834,15
20029434072,1/10/2022,Mexico,T6,880,10
678505704,1/10/2022,Mexico,T6,1523,9
16862909544,1/10/2022,Mexico,T6,1627,1
4242234408,1/10/2022,Mexico,T6,1657,2
1401817224,1/10/2022,Mexico,T6,973,8
35134671936,1/10/2022,Mexico,T6,2294,11
9855921768,1/10/2022,Mexico,T6,1096,13
21480253800,1/10/2022,Mexico,T6,50,4
39386163744,1/10/2022,Mexico,T6,2992,2
40613941848,1/10/2022,Mexico,T6,1266,8
9192474768,1/10/2022,Mexico,T6,2986,3
516562920,1/10/2022,Mexico,T6,2798,6
157738936944,1/10/2022,Mexico,T6,106,3
3405859176,1/10/2022,CANADA,T6,1518,5
8020364496,1/10/2022,CANADA,T6,2977,13
1814326968,1/10/2022,CANADA,T6,697,1
1833582360,1/10/2022,CANADA,T6,2663,14
13853143656,1/10/2022,CANADA,T6,872,4
